Date,Index Value
Wed Feb 06 2019,13930.517
Fri Mar 08 2019,14480.257333333333
Sun Apr 07 2019,14882.504333333334
Tue May 07 2019,15308.292000000003
Thu Jun 06 2019,15568.176333333335
Sat Jul 06 2019,15733.731666666667
Mon Aug 05 2019,16566.578666666665
Wed Sep 04 2019,17432.522333333334
Fri Oct 04 2019,17557.582333333332
Sun Nov 03 2019,17205.71733333333
Tue Dec 03 2019,17047.944000000003
Thu Jan 02 2020,17043.481333333333
Sat Feb 01 2020,17559.871333333333
Mon Mar 02 2020,17771.47533333334
Wed Apr 01 2020,17815.220666666668
Fri May 01 2020,17860.335666666673
Sun May 31 2020,17496.072333333337
Tue Jun 30 2020,17400.188666666665
Thu Jul 30 2020,17277.324666666664
Sat Aug 29 2020,17429.502000000004
Mon Sep 28 2020,18179.682000000004
Wed Oct 28 2020,18475.527333333335
Fri Nov 27 2020,18565.754000000004
Sun Dec 27 2020,18723.678666666667
Tue Jan 26 2021,19320.767
Thu Feb 25 2021,19927.065
Sat Mar 27 2021,21873.039666666675
Mon Apr 26 2021,23303.77933333333
Wed May 26 2021,24529.23533333333
Fri Jun 25 2021,25033.37433333333
Sun Jul 25 2021,25267.585000000003
Tue Aug 24 2021,25667.712333333337
Thu Sep 23 2021,26334.422000000002
Sat Oct 23 2021,27565.765666666666
Mon Nov 22 2021,29103.392999999993
Wed Dec 22 2021,29810.768000000007
Fri Jan 21 2022,32936.92466666667
Sun Feb 20 2022,37161.009000000005
Tue Mar 22 2022,36681.50800000001
Thu Apr 21 2022,35301.66266666667
Sat May 21 2022,33732.98466666666
Mon Jun 20 2022,32062.503000000008
Wed Jul 20 2022,31423.50466666667
Fri Aug 19 2022,30629.85333333334
Sun Sep 18 2022,30908.726666666673
Tue Oct 18 2022,30286.568666666666
Thu Nov 17 2022,28863.818666666677
Sat Dec 17 2022,27749.441666666666
Mon Jan 16 2023,26971.191333333332
Wed Feb 15 2023,26307.873333333333
Fri Mar 17 2023,27333.79166666667
Sun Apr 16 2023,28308.11066666666
Tue May 16 2023,26846.449666666667
Thu Jun 15 2023,27034.14633333333
Sat Jul 15 2023,26193.688666666676
Mon Aug 14 2023,25445.862333333338
Wed Sep 13 2023,25587.617333333335
Fri Oct 13 2023,25950.83766666667
Sun Nov 12 2023,24661.811000000005
Tue Dec 12 2023,24612.40100000001
Thu Jan 11 2024,21157.552000000007
